dos_id,name,filed,entity_type,county,jurisdiction,process_name,process_address,process_address_2,process_city,process_state,process_zip
8018883,GYM WARRIORS INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,New York,New York,GYM WARRIORS INC.,309 W 120th St Apt 11,,New York,NY,10027
8018884,ZOETRY 21 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,Registered Agents Inc.,418 Broadway STE R,,Albany,NY,12207
8018885,151 CREATIONS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,Registered Agents Inc.,418 Broadway STE R,,Albany,NY,12207
8018886,GENESIS TO REVELATIONS BBQ PROVISION LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Monroe,New York,Registered Agents Inc.,418 Broadway STE R,,Albany,NY,12207
8018887,183 W BERG AVENUE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Onondaga,New York,Registered Agents Inc.,418 Broadway STE R,,Albany,NY,12207
8018888,WYTHE STRATEGIES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8018889,M&L TIRES AND AUTO REPAIR MOBILE SERVICE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,stephanie ortiz,428 gazzola dr,,East patchogue,NY,11706
8018890,REYNOLDS LAWN CARE & MINI EXCAVATING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Ulster,New York,Robert Reynolds,34 Old Unionville Rd,,Wallkill,NY,12589
8018891,VINNYS PIZA CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Albany,New York,Ervin Dalipaj,49 Kelly Ave,,Guilderland,NY,12203
8018892,PRIMEAXIS CONSULTING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8018893,COANA KIDS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8018895,PATATES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8018896,P D 1188 TRADERS INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,P D 1188 TRADERS INC.,244 N 5TH ST,,BETHPAGE,NY,11714
8018900,HLF2O LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,HLF2O LLC,26 HARDING COURT,,CENTERPORT,NY,11721
8018902,PINNACLE MOUNTAIN PARTNERS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Fulton,New York,Pinnacle Mountain Partners LLC,P.O. Box 7114,,Albany,NY,12224
8018903,SHRIPAT 244 INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,SHRIPAT 244 INC.,244 N 5TH ST,,BETHPAGE,NY,11714
8018906,METRO MERCHANDISE GROUP LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8018907,GAIJIN DOS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8018911,GRACENGLOW SPA INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Dutchess,New York,GRACENGLOW SPA INC.,2674 West Main St,,Wappinger Falls,NY,12590
8018917,"EJS IMPERIAL, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,Alexander Fayziyev,10690 Bexley Blvd,,Boca Raton,FL,33428
8018918,ROADWISE TRANSPORTATION CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,New York,New York,ROADWISE TRANSPORTATION CORP.,297 CENTRE AVE,,NEW ROCHELLE,NY,10805
8018919,CCPP ENTERPRISES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,CCPP Enterprises LLC,P.O. Box 174,,Altamont,NY,12009
8018920,OPEN QUESTION MEDIA LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REGISTERED AGENTS INC.,418 BROADWAY,STE R,ALBANY,NY,12207
8018922,DE FLEET HOLDING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Monroe,New York,DE Fleet Holding LLC,1812 Brighton Henrietta,Town Line Road,Rochester,NY,14623
8018925,W-3F LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,W-3F LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018926,W-6A LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,W-6A LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018929,E-6B LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,E-6B LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018931,E-4E LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,E-4E LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018932,MS-204 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,MS-204 LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018934,MS-408 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,MS-408 LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018935,TRM TECHNOLOGIES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,Brian Monaco,33 West Masem Sq.,,E. Patchogue,NY,11772
8018936,MS-208 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,MS-208 LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018938,MS-700 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,MS-700 LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018939,MS-780 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,MS-780 LLC,780 Main St. Apt 780,,New Rochelle,NY,10805
8018942,"FLOOD HOLD, INC.",2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,"Flood Hold, Inc.",301 Douglass St.,,Brooklyn,NY,11217
8018944,JAXXSNAX LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,Jacqueline Paige Spiegel,3 Tulip Dr,,Great Neck,NY,11021
8018948,AUTOLINK MOBILE SERVICE CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,New York,New York,FENG YAN,228 PARK AVE S 30327,,NEW YORK,NY,100031502
8018950,100 HALL ST LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,NATHANIEL DANESHRAD,1202 AVENUE U,SUITE 1069,BROOKLYN,NY,11229
8018953,"MGN WESTTOWN II, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Orange,New York,CORPORATION SERVICE COMPANY,80 STATE ST.,,ALBANY,NY,12207
8018954,"SANTANA BREAD SERVICES, CORP.",2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,"SANTANA BREAD SERVICES, CORP.",21 Stanton Blvd.,,Uniondale,NY,11553
8018955,"THAT SWEET SPOT, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Steuben,New York,Inc Authority RA,"42 Broadway, Fl. 12-200",,New York,NY,10004
8018957,PRUSSMAN HOUSEHOLD LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8018961,ZENLI LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,ZENLI LLC,25 Fairbanks Blvd,,Woodbury,NY,11797
8018962,62 W 47TH STREET 310 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,62 W 47TH STREET 310 LLC,62 W. 47th Street,Unit 310,New York,NY,10036
8018963,HD DESIGNS STUDIO GAMES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8018964,NORTHSTAR REAL ESTATE HOLDING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,ACCUMERA LLC,"911 CENTRAL AVE., #101",,ALBANY,NY,12206
8018965,MARKOS MEDIA LLC,2026-09-11,FOREIGN LIMITED LIABILITY COMPANY,Kings,Delaware,MARKOS MEDIA LLC,20 grand avenue,unit 209,BROOKLYN,NY,11205
8018966,GLORIANT PRODUCTIONS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,REGISTERED AGENTS INC.,418 BROADWAY,STE R,ALBANY,NY,12207
8018967,BIRTHING LIGHT INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Queens,New York,BIRTHING LIGHT INC.,138-31 248TH ST,,ROSEDALE,NY,11422
8018968,TAYLOR BCP NORTH LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Rensselaer,New York,The Company,"c/o Pennrose, LLC",230 Wyoming Avenue,Kingston,PA,18704
8018971,G&J CUSTOM GATES INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,G&J CUSTOM GATES INC.,741 ELMONT RD,,ELMONT,NY,11003
8018972,LOAD OFF L.L.C.,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REGISTERED AGENTS INC.,418 BROADWAY,STE R,ALBANY,NY,12207
8018976,TAYLOR BCP SOUTH LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Rensselaer,New York,The Company,"c/o Pennrose, LLC",230 Wyoming Avenue,Kingston,PA,18704
8018980,LION VALET GROUP INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,Beka Sopromadze,1280 E 18TH ST 3F,,BROOKLYN,NY,11230
8018982,KAM COLLECTIVE INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,KARINA MANCEBO,115 LAKE RD,,MANHASSET,NY,11030
8018983,M&M ELECTRONICS DISCOUNT INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Queens,New York,M&M ELECTRONICS DISCOUNT INC.,17024 Jamaica Ave,,Jamaica,NY,11432
8018986,AMSTER DME CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,New York,New York,Amster Dme Corp.,444 Graham Ave,,Brooklyn,NY,11211
8018987,YAJU DESIGN INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,Dingyao Huang,1369 Bay Ridge Ave #A,,Brooklyn,NY,11219
8018989,110 GREENWAY HOLDING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,110 GREENWAY HOLDING LLC,38-08 Union St Ste 11A,,Flushing,NY,11354
8018991,FIAMMA LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,Douglas Tucci,18 rose avenue,,Harrison,NY,10528
8018992,"MARSHALL INVESTIGATIVE GROUP, LLC",2026-09-11,FOREIGN LIMITED LIABILITY COMPANY,Albany,Delaware,"MARSHALL INVESTIGATIVE GROUP, LLC",401 devon ave,,PARK RIDGE,IL,60068
8018993,87 FOREST LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Orange,New York,87 FOREST LLC,117 Walworth Street,,Brooklyn,NY,11205
8018995,CLAIR CLEANING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8018996,MAHJ MAVENS NYC LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Bronx,New York,Allyson Fishman,630 West 246th Street Apt 1031,,Riverdale,NY,10471
8018997,MACLU LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,MACLU LLC,1600 Express Drive South,Suite 103,Hauppauge,NY,11788
8018998,IRON SPRING CONSULTING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Saratoga,New York,Robert Tabone,528 Elk Cir,,Ballston Spa,NY,12020
8018999,MINDFUL UPSTATE RETREAT LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Greene,New York,Mindful Upstate Retreat LLC,41 County Road 39,,Round Top,NY,12473
8019001,JR & L AUTO SERVICES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Erie,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8019002,SILVER MOON GROUP LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REGISTERED AGENTS INC.,418 BROADWAY,STE R,ALBANY,NY,12207
8019007,CC'S CHERUBS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8019008,MSF LOCUST REALTY LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,MSF LOCUST REALTY LLC,1600 OLD CEDAR SWAMP RD,,GLEN HEAD,NY,10545
8019011,"BANG DEVELOPMENT, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8019012,GABEON SNACKS LIMITED LIABILITY COMPANY,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Bronx,New York,JAIME RIVERA,936 REV JAMES A POLITE AVE APT,,BRONX,NY,10459
8019013,PHARMPATH LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,The Company,1525 East 3rd Street,,Brooklyn,NY,11230
8019016,S&N DELIVERS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019017,LITTLE FALLS YOUTH WRESTLING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Herkimer,New York,Little Falls Youth Wrestling LLC,224 BURWELL ST,,LITTLE FALLS,NY,13365
8019019,RICH FAROVA LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019020,IMPACT FITNESS NYC LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8019022,CEDAR & STONE WOODWORKS INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Orange,New York,MANUEL RAUL MOROCHO,84 FIREFIGHTERS MEMORIAL DRIVE,,FORT MONTGOMERY,NY,10922
8019023,HEYEN CONSULTING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Ulster,New York,Steven Heyen,51 Henry Street,FL2,Kingston,NY,12401
8019024,"ONELOT NYC, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,Michael Glaser,50 North New York Ave Suite 30,c/o Glaser Mills,Huntington,NY,11743
8019026,PROFIT RETAIN SOLUTIONS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Bronx,New York,JOHN VASQUEZ,2883 SAMPSON AVE,,BRONX,NY,10465
8019027,US WORLDWIDE VOLUNTEERS ASSO LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,US WORLDWIDE VOLUNTEERS ASSO LLC,449 9th St Apt 3F,,Brooklyn,NY,11215
8019028,14 LOCUST ST MANAGEMENT CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Suffolk,New York,Officer,14 Locust St,,Lake Ronkonkoma,NY,11779
8019029,GARDEN TERRACE NY LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Rockland,New York,Garden Terrace NY LLC,4 Joan Lane,,Monsey,NY,10952
8019030,SHC BROS SUPPLY CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Queens,New York,SHC BROS SUPPLY CORP.,196-13 42ND AVE. #1ST FL.,,FLUSHING,NY,11358
8019031,"D&J ESTABLISHED, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Cayuga,New York,"D&J Established, LLC",207 State Street,,Auburn,NY,13021
8019032,SMITH GOLDEN CARE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019034,THE HYDE AWAY THEATER LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019036,LALY'S SNACK BAR CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Queens,New York,LALY'S SNACK BAR CORP.,39-06 64TH ST,,WOODSIDE,NY,11377
8019037,SANTAS DISTRIBUTORS INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,EUGENIA SPLINIS,45 NORTH DUCKPOND DRIVE,,WANTAGH,NY,11793
8019038,EVACONSTRUCTION LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,Entity Protect Registered Agent Services LLC,447 Broadway 2nd Fl. - #3000,,New York,NY,10013
8019039,"111 CANAL STREET, LLC",2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Jefferson,New York,Michael Pierson,PO Box 123,,Dexter,NY,13634
8019040,BUTTER LANE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,Richard Shill,c/o Two Trees Management Compa,"45 Main Street, Suite 1200",Brooklyn,NY,11201
8019042,SUNA COSMETICS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8019043,ATOMSK MECHANICAL LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8019044,MGELBSTEIN INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,MGELBSTEIN INC.,110 skillman st,,BROOKLYN,NY,11205
8019045,"ADVANCED MECHANICAL SERVICES, INC.",2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,Joel B. Cutler c/o Law Offices of Joel B. Cutler,15 Dalton Street,,Long Beach,NY,11561
8019047,NK KELZ LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Erie,New York,NK KELZ LLC,260 Garden Pkwy,,Williamsville,NY,14221
8019048,ZAKARYAN DESIGN LTD.,2026-09-11,DOMESTIC BUSINESS CORPORATION,New York,New York,GOR ZAKARYAN,55 W 47TH STREET,#M310,NEW YORK,NY,10036
8019049,DOMINGO LUXURY BRAND LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Bronx,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8019050,LEX'S AUTO WORKS L.L.C.,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Monroe,New York,ZENBUSINESS INC.,41 STATE STREET,SUITE 112,ALBANY,NY,12207
8019051,SKL RESTAURANT HOLDINGS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,SONGKAI LI,14449 NORTHERN BLVD,,FLUSHING,NY,11354
8019052,HEIMISH IS GESHMAK LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Orange,New York,NORTHWEST REGISTERED AGENT LLC,418 BROADWAY,STE N,ALBANY,NY,12207
8019053,119 INGHAM AVE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Erie,New York,Sadek A Sharian,98 Holland Ave,,Lackawanna,NY,14218
8019054,AVENUE ONE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Rockland,New York,AVENUE ONE LLC,31 INDUSTRIAL AVE,,MAHWAH,NJ,07430
8019055,ASH & ELM FINE HOME CARE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Monroe,New York,Erin Genser,25 Center Crossing,,Fairport,NY,14450
8019056,BIG JAYS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Westchester,New York,Jonathan Palmer,28 n bond st,,Mount Vernon,NY,10550
8019057,DUDE WNY LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Niagara,New York,"ELIZABETH POOL, DAVID PRIESTER JR",3154 UPPER MOUNTIAN RD,,SANBORN,NY,14132
8019058,580 HANDS CREEK LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,580 HANDS CREEK LLC,P.O. BOX 3123,,SAG HARBOR,NY,11963
8019061,NORTH POLE NYC INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,New York,New York,NORTH POLE NYC INC.,43-01 46TH STREET,APT. 6F,SUNNYSIDE,NY,11104
8019062,229 INGHAM AVE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Erie,New York,Sadek Sharian,98 Holland Ave,,Lackawanna,NY,14218
8019063,POLLOS LOCOS FLOW INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,POLLOS LOCOS FLOW INC.,114-09 TAIPEI CT,,FLUSHING,NY,11356
8019065,LULU 2711 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,YASHODA RAMNARYAN,577 EAST 38TH ST,,BROOKLYN,NY,11203
8019069,BERDAR'S SERVICE CENTER INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Rensselaer,New York,The Corp.,114 Saratoga Street,,Cohoes,NY,12047
8019070,VALERIE STAR LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,Rocket Corporate Services Inc.,2804 Gateway Oaks Drive #100,,Sacramento,CA,95833
8019071,ASPIRE 360 LEARNING PARTNERS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,SILVERMAN SHIN & SCHNEIDER PLLC,ATTN: PETER SILVERMAN,"111 BROADWAY, SUITE 1502",NEW YORK,NY,10006
8019072,RODEO EATERY LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,Rodolfo cabrera,605 12 st,,Union city,NJ,07087
8019073,ONE TWENTY-SEVEN LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Suffolk,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019074,FRED XAVIER LAND LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Ulster,New York,FRED XAVIER LAND LLC,138 Bellevue Rd,,Highland,NY,12528
8019075,3015 BIRCH LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Onondaga,New York,3015 BIRCH LLC,5548 Bear Road Apt 24A,,North Syracuse,NY,13212
8019078,HEALTHY HOMES COLLECTIVE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,Melissa Sandhop,15 Santa Anna Dr,,Poughkeepsie,NY,12603
8019079,SOUTH LIU ASSOCIATION LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019080,AM NOHO LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,New York,New York,AM NOHO LLC,43 BLEECKER STREET,UNIT 4A,NEW YORK,NY,10012
8019081,BRIDGE HAVEN CONSTRUCTION LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019082,ROMAN PROCESS SERVICE LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Albany,New York,ROMAN PROCESS SERVICE LLC,3471 STEENWICK AVENUE,,BRONX,NY,10475
8019083,CHAMPLAIN COMSTOCK LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,REPUBLIC REGISTERED AGENT SERVICES INC.,54 STATE STREET,STE 804,ALBANY,NY,12207
8019084,VECTA LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,Vecta LLC,271 Brighton Beach Ave,Suite #200,Brooklyn,NY,11235
